Time,Omega_X,Omega_Y,Omega_Z
0,0,0,0
0.000208188830335882,0.0769263561734868,-0.0700825621366902,-0.00670477497902238
0.000416377660671764,0.153569489437213,-0.139911852034766,-0.0133868516808606
0.000624566491007645,0.22989975909358,-0.209496339093975,-0.0200575058184202
0.000952037756034696,0.349115461565842,-0.318685670394461,-0.0306742129188309
0.00117325157308569,0.428694260245658,-0.392410940869201,-0.0380839562913835
0.00135357887529865,0.492518765704111,-0.452711863052683,-0.0444669812823365
0.0015339061775116,0.554779278345829,-0.513490385676963,-0.051394943464765
0.00171423347972456,0.614685061506739,-0.575099582389315,-0.0590910396893031
0.00189456078193751,0.671241229716762,-0.637927899651345,-0.0676755884924247
0.0021198322662445,0.735258296390394,-0.718708635177971,-0.0793911978567007
0.002277298749938,0.774626889614172,-0.776905936055755,-0.0878624206095496
0.00243476523363151,0.808295460773591,-0.836771648933028,-0.0959997160280085
0.00259223171732502,0.835100893604143,-0.898533731138579,-0.103300487032778
0.00274969820101853,0.853750311102164,-0.962492185552062,-0.109340136184102
0.00296802949056953,0.863725747131317,-1.05544152986788,-0.115080922720977
0.00318636078012054,0.851969517107708,-1.15436965671345,-0.117441896072578
0.00340469206967155,0.815688441298708,-1.26017495649488,-0.116271815535454
0.00362302335922255,0.753600128233129,-1.37335287920163,-0.111802416827751
0.00384135464877356,0.666559692169912,-1.49371540831341,-0.104469545502692
0.00409988718481828,0.535910588522933,-1.6440970167332,-0.0928463964658216
0.00435841972086301,0.383606362115484,-1.80038102256851,-0.0790014369408617
0.00461695225690773,0.220824977882427,-1.95897877526952,-0.0640251928120763
0.00487548479295246,0.0593844044980421,-2.11608879695473,-0.0489782598443342
0.00513401732899718,-0.0901407996009169,-2.26832156847194,-0.0347787162444122
0.00548455737963088,-0.260647297997385,-2.46275420540161,-0.0180068192269942
0.00577453873567389,-0.365641053539368,-2.61066633614462,-0.00696260977011666
0.00606452009171689,-0.436308586068089,-2.74641565516462,0.00139412900952245
0.0063545014477599,-0.474535652716864,-2.87069638607909,0.00722914282094721
0.0066444828038029,-0.484158814183647,-2.98483141318692,0.0108554102865581
0.00693446415984591,-0.469897159673448,-3.09042642571643,0.0126356687074213
0.00736282912039413,-0.415193770984279,-3.23420746965331,0.0125808350813402
0.00779119408094236,-0.332646113565852,-3.36763324075628,0.0100365851548131
0.00821955904149058,-0.233789043613289,-3.49469990958575,0.00547106296180111
0.00864792400203881,-0.127647229791129,-3.61857614655506,-0.000928586553928357
0.00907628896258703,-0.0213536553192333,-3.74175855028077,-0.00904908066229296
0.00959926014333594,0.0998676317759623,-3.89409666852158,-0.0207581784478802
0.0101222313240848,0.201681438796576,-4.05158096626053,-0.0330444075755992
0.0106452025048338,0.27349726907533,-4.21709105206868,-0.0436941126147455
0.0111681736855827,0.305359631111012,-4.39327041443468,-0.0505637245682754
0.0116911448663316,0.290993558869643,-4.58175123238751,-0.0524104762915049
0.0122141160470805,0.233152440405781,-4.78143748938955,-0.0493541376355155
0.0125407908425225,0.178869509153611,-4.91055905096377,-0.0453139287961906
0.0128674656379645,0.116441611018262,-5.04116129422823,-0.040170567761147
0.0131372549597158,0.062266844838919,-5.14900426370262,-0.0354145486515198
0.013407044281467,0.00917750970806325,-5.255729281609,-0.0305174891321901
0.0136768336032183,-0.0401549035309943,-5.3604888597804,-0.0257203394120486
0.0139466229249695,-0.0835697427660563,-5.46260815188707,-0.0212280484068313
0.0143382593348117,-0.133245197657802,-5.60529335438333,-0.0155313485300001
0.0147298957446538,-0.164557595222042,-5.74065886068626,-0.011095573063496
0.015121532154496,-0.17702025043402,-5.8686587956167,-0.00806927666461768
0.0155131685643381,-0.172231263189638,-5.98992592122589,-0.00644571151052895
0.0159048049741803,-0.153122359343566,-6.10552061503356,-0.00612095852451805
0.0164266007981051,-0.11164639642292,-6.25289901291491,-0.00741473980745893
0.0169483966220299,-0.0596547783595638,-6.39539339738258,-0.0103142014253467
0.0174701924459547,-0.00534140198428957,-6.53576523479407,-0.0143125816042977
0.0179919882698796,0.04397680369027,-6.67638344033972,-0.0187643769195146
0.0185137840938044,0.0822330005700641,-6.81911736460384,-0.02293693222501
0.0192203314039108,0.109352775558448,-7.01777225094833,-0.0269723394359444
0.0199268787140172,0.10426257091977,-7.22353009811634,-0.02819126436404
0.0205127140910684,0.0780329479459525,-7.39853371114131,-0.0269114519253164
0.0210985494681195,0.0396115515605629,-7.57492375260915,-0.0240721188171879
0.0216843848451707,-0.001466854751125,-7.74960626074693,-0.02043854924989
0.0222702202222218,-0.0361728148545185,-7.91972161974007,-0.0168062509657319
0.022856055599273,-0.0582074712570531,-8.08335661191579,-0.0138175639549916
0.0235085656039718,-0.0651073011469323,-8.25731045828647,-0.0116990293756285
0.0241610756086706,-0.0549166104003253,-8.42323670444306,-0.0110190057264854
0.0248135856133695,-0.0329057549639446,-8.58306466273874,-0.0116309515239758
0.0254660956180683,-0.00616970679968172,-8.7392472690828,-0.0131495020777317
0.0261186056227672,0.0184335385857385,-8.89405877068282,-0.0150327891484903
0.0270205795272203,0.0401596315245582,-9.10856437762994,-0.0172647910719352
0.0279225534316735,0.0416507813872575,-9.32542090659515,-0.0181281335211669
0.0288109556106984,0.0266203239910017,-9.54003505905107,-0.0174082944996865
0.0294239182685092,0.0106696825276414,-9.6873660010164,-0.016178989292498
0.0300368809263201,-0.00509036639417425,-9.83255905814474,-0.0146917357465832
0.0306498435841309,-0.0173749401735394,-9.97460470328975,-0.0132514914116532
0.0312628062419417,-0.0241593327961075,-10.1129232909387,-0.0120869473176536
0.0319728014620025,-0.0244054945701501,-10.2683504825997,-0.0112503046213612
