Time,Tau_X,Tau_Y,Tau_Z
8.69109224739974,-0.00019878217759663,7.44838355859915e-05,0.000134292000065916
8.69209224739974,-0.000198840900069281,7.44610452673117e-05,0.000134318610221158
8.69309224739973,-0.000198899455825602,7.44386128517573e-05,0.000134343422486916
8.69409224739973,-0.000198957834715268,7.44165374201992e-05,0.000134366459611745
8.69509224739973,-0.000199016026861583,7.43948180445888e-05,0.000134387744347261
8.69609224739973,-0.000199074022638359,7.43734537745513e-05,0.000134407299409875
8.69709224739973,-0.00019913181253368,7.43524436575501e-05,0.000134425147598033
8.69809224739973,-0.000199189387307471,7.43317865659649e-05,0.000134441311720115
8.69909224739973,-0.000199246737912905,7.43114815295276e-05,0.000134455814540941
8.70009224739973,-0.000199303855401873,7.42915273086591e-05,0.000134468678861193
8.70109224739973,-0.00019936073111318,7.42719229108209e-05,0.000134479927459009
8.70209224739973,-0.000199417356564428,7.4252667076958e-05,0.000134489583057373
8.70309224739973,-0.000199473723487717,7.4233758673387e-05,0.000134497668468199
8.70409224739973,-0.00019952982377042,7.42151963498439e-05,0.000134504206421261
8.70509224739973,-0.000199585649493642,7.4196978916344e-05,0.000134509219639877
8.70609224739973,-0.000199641192942805,7.41791050090771e-05,0.00013451273085532
8.70709224739973,-0.000199696446642143,7.41615733779488e-05,0.000134514762774855
8.70809224739973,-0.000199751403185902,7.41443824844178e-05,0.000134515338063637
8.70909224739973,-0.000199806055478955,7.41275310911051e-05,0.000134514479381359
8.71009224739973,-0.000199860396565465,7.41110177105835e-05,0.000134512209290107
8.71109224739972,-0.000199914419649931,7.40948408829909e-05,0.000134508550434905
8.71209224739972,-0.000199968118135607,7.40789989993853e-05,0.000134503525297344
8.71309224739972,-0.00020002148562663,7.40634905796038e-05,0.000134497156420988
8.71409224739972,-0.000200074515880698,7.40483141002231e-05,0.00013448946623977
8.71509224739972,-0.000200127202887131,7.40334679167097e-05,0.000134480477209448
8.71609224739972,-0.000200179540722211,7.40189502953672e-05,0.000134470211675259
8.71709224739972,-0.000200231523709931,7.4004759653178e-05,0.000134458691954881
8.71809224739972,-0.000200283146300953,7.39908942767768e-05,0.000134445940256066
8.71909224739972,-0.00020033440318642,7.39773523236083e-05,0.000134431978783575
8.72009224739972,-0.000200385289145625,7.39641320106058e-05,0.000134416829749576
8.72109224739972,-0.000200435799172002,7.39512315337353e-05,0.000134400515184822
8.72209224739972,-0.000200485928422888,7.39386490427253e-05,0.000134383057004206
8.72309224739972,-0.000200535672211378,7.39263825779249e-05,0.000134364477231107
8.72409224739972,-0.000200585026037623,7.39144301804842e-05,0.000134344797720658
8.72509224739972,-0.000200633985536791,7.39027899582159e-05,0.000134324040191971
8.72609224739972,-0.000200682546510004,7.38914597848397e-05,0.000134302226355409
8.72709224739972,-0.000200730704875431,7.38804376149596e-05,0.000134279377758602
8.72809224739972,-0.000200778456798515,7.38697213391927e-05,0.000134255515956911
8.72909224739971,-0.000200825798553684,7.38593088261129e-05,0.000134230662404629
8.73009224739971,-0.000200872726499101,7.38491978537691e-05,0.000134204838312014
8.73109224739971,-0.000200919237258752,7.38393861785234e-05,0.000134178064975534
8.73209224739971,-0.000200965327509465,7.38298715402351e-05,0.000134150363467501
8.73309224739971,-0.000201010994124856,7.38206515920639e-05,0.000134121754806995
8.73409224739971,-0.000201056234084816,7.38117240024651e-05,0.000134092259843799
8.73509224739971,-0.000201101044559791,7.38030863535753e-05,0.000134061899347078
8.73609224739971,-0.000201145422881148,7.37947362827233e-05,0.000134030694011044
8.73709224739971,-0.000201189366400851,7.37866712293818e-05,0.000133998664332092
8.73809224739971,-0.000201232872693639,7.37788886523145e-05,0.000133965830683206
8.73909224739971,-0.000201275939435134,7.37713860289233e-05,0.000133932213252339
8.74009224739971,-0.000201318564471247,7.37641607338169e-05,0.000133897832312785
8.74109224739971,-0.000201360745744125,7.37572101122172e-05,0.000133862707776451
8.74209224739971,-0.000201402481293506,7.37505314944886e-05,0.000133826859459305
8.74309224739971,-0.000201443769378252,7.37441222025258e-05,0.000133790307045472
8.74409224739971,-0.000201484608269833,7.37379793930194e-05,0.000133753070125078
8.74509224739971,-0.000201524996470312,7.37321003385084e-05,0.000133715168043552
8.74609224739971,-0.000201564932490113,7.37264820877676e-05,0.000133676620054462
8.7470922473997,-0.000201604415036188,7.3721121861807e-05,0.000133637445256058
8.7480922473997,-0.000201643442909228,7.37160167922233e-05,0.000133597662516829
8.7490922473997,-0.000201682014994598,7.37111639397859e-05,0.000133557290528811
8.7500922473997,-0.000201720130332981,7.37065601794113e-05,0.000133516347906415
8.7510922473997,-0.000201757788067902,7.37022026497076e-05,0.000133474853079215
8.7520922473997,-0.000201794987429714,7.36980882875752e-05,0.00013343282417509
8.7530922473997,-0.000201831727741008,7.36942139768376e-05,0.000133390279281056
8.7540922473997,-0.000201868008449785,7.36905766789136e-05,0.000133347236271276
8.7550922473997,-0.000201903829064947,7.36871732822253e-05,0.000133303712757157
8.7560922473997,-0.000201939189306469,7.36840006705786e-05,0.00013325972616724
8.7570922473997,-0.000201974088954184,7.36810556214388e-05,0.000133215293860347
8.7580922473997,-0.000202008527813309,7.36783349512826e-05,0.000133170432983869
8.7590922473997,-0.000202042505763574,7.36758355130148e-05,0.000133125160368253
8.7600922473997,-0.000202076022868253,7.36735540601914e-05,0.000133079492688747
8.7610922473997,-0.000202109079264188,7.36714873834784e-05,0.00013303344645319
8.7620922473997,-0.000202141675237429,7.36696321616262e-05,0.000132987037999508
8.7630922473997,-0.000202173811001518,7.36679852604827e-05,0.000132940283433138
8.7640922473997,-0.000202205487006299,7.36665433241025e-05,0.000132893198591314
8.76509224739969,-0.000202236703668248,7.36653030016248e-05,0.000132845799196599
8.76609224739969,-0.00020226746162562,7.36642611350033e-05,0.000132798100754723
8.76709224739969,-0.000202297761450757,7.36634144128875e-05,0.000132750118548979
8.76809224739969,-0.0002023276039229,7.36627594549573e-05,0.000132701867581283
8.76909224739969,-0.00020235698982278,7.36622930965586e-05,0.000132653362726193
8.77009224739969,-0.0002023859200603,7.36620119422373e-05,0.000132604618634868
8.77109224739969,-0.000202414395572793,7.3661912802412e-05,0.000132555649796312
8.77209224739969,-0.00020244241743275,7.36619922942956e-05,0.000132506470367171
8.77309224739969,-0.000202469986724513,7.36622472418356e-05,0.000132457094402129
8.77409224739969,-0.000202497104668258,7.36626743250397e-05,0.000132407535720519
8.77509224739969,-0.000202523772475853,7.36632702638383e-05,0.000132357807911642
8.77609224739969,-0.000202549991513005,7.36640318980054e-05,0.000132307924361479
