Time,Ang_X,Ang_Y,Ang_Z
0,0,-0.0872664625997165,0
0.000208188830335882,1.23823881157618e-07,-0.087265173229324,-1.42607346400414e-06
0.000416377660671764,3.90377296354438e-07,-0.0872623978535019,-4.49560800933136e-06
0.000624566491007645,8.02387733136817e-07,-0.0872581102765676,-9.23676511648632e-06
0.000952037756034696,1.70482352416185e-06,-0.087248753866965,-1.9570566136597e-05
0.00117325157308569,2.50849692165208e-06,-0.0872404767538926,-2.86924011893372e-05
0.00135357887529865,3.29146341569394e-06,-0.0872324943490608,-3.74595572947684e-05
0.0015339061775116,4.20050463522447e-06,-0.0872233718679298,-4.74231281668549e-05
0.00171423347972456,5.24842300768206e-06,-0.0872130927791308,-5.85512700116834e-05
0.00189456078193751,6.45067795892646e-06,-0.0872016375155301,-7.07913384262869e-05
0.0021198322662445,8.19303598957119e-06,-0.087185630209543,-8.75170781704262e-05
0.002277298749938,9.57610138068496e-06,-0.0871732968183159,-0.000100079882076533
0.00243476523363151,1.10955538982573e-05,-0.0871599897723766,-0.000113255343463554
0.00259223171732502,1.27417830333527e-05,-0.0871456794465437,-0.000126938402970018
0.00274969820101853,1.44975284278859e-05,-0.0871303320241201,-0.000141003696686787
0.00296802949056953,1.70710907316648e-05,-0.0871072665729564,-0.000160874436969118
0.00318636078012054,1.97402728417004e-05,-0.0870820123904046,-0.000180751411295862
0.00340469206967155,2.24240539143706e-05,-0.0870544213253956,-0.000200093158846139
0.00362302335922255,2.50423648755264e-05,-0.0870243289238209,-0.000218310944922171
0.00384135464877356,2.75233255914407e-05,-0.0869915675237133,-0.000234813548096667
0.00409988718481828,3.02034397265677e-05,-0.0869491148132319,-0.000251405710958221
0.00435841972086301,3.25336170955592e-05,-0.0869025072982949,-0.00026412511796658
0.00461695225690773,3.44679012173026e-05,-0.0868516304496693,-0.000272522915809148
0.00487548479295246,3.59900347040798e-05,-0.086796470837103,-0.000276467383624188
0.00513401732899718,3.71109805410527e-05,-0.0867371142138888,-0.000276137750948323
0.00548455737963088,3.80549955827312e-05,-0.0866502520530729,-0.000269716623562991
0.00577453873567389,3.84090584687159e-05,-0.0865731925456546,-0.000260161969890545
0.00606452009171689,3.8465230505232e-05,-0.0864918188662946,-0.000247891048467475
0.0063545014477599,3.83053500208344e-05,-0.0864064975674214,-0.000233948833035477
0.0066444828038029,3.8002744887505e-05,-0.0863175604677575,-0.000219279898239692
0.00693446415984591,3.76195825609937e-05,-0.0862252921421671,-0.000204689320826027
0.00736282912039413,3.70085946115571e-05,-0.0860833639184669,-0.000184582365143812
