Time,q_w,q_x,q_y,q_z
0,0.999048221581858,0,-0.043619387365336,0
0.000208188830335882,0.999048249702169,-7.09657578037218e-07,-0.0436187432937611,3.07512496987295e-08
0.000416377660671764,0.999048310228141,-2.23715117965351e-06,-0.0436173569268348,9.69596195649129e-08
0.000624566491007645,0.999048403724101,-4.59648956581414e-06,-0.0436152151795441,1.99380342926946e-07
0.000952037756034696,0.999048607716902,-9.73879928734858e-06,-0.0436105414308747,4.2485929151341e-07
0.00117325157308569,0.999048788138058,-1.42778610508493e-05,-0.0436064068185811,6.27469145594839e-07
0.00135357887529865,0.999048962099662,-1.86402080360576e-05,-0.0436024194219295,8.27502890836432e-07
0.0015339061775116,0.999049160864754,-2.35974516930034e-05,-0.043597862533135,1.06448180514437e-06
0.00171423347972456,0.999049384777378,-2.91334086119847e-05,-0.0435927278955592,1.34551209953834e-06
0.00189456078193751,0.999049634246248,-3.52214475276514e-05,-0.0435870057364176,1.67948249410315e-06
0.0021198322662445,0.999049982738503,-4.3538445548448e-05,-0.043579009738896,2.18567243763449e-06
0.002277298749938,0.99905025116324,-4.9783786695336e-05,-0.0435728489482299,2.60312046267482e-06
0.00243476523363151,0.999050540702385,-5.63322105536633e-05,-0.0435662018024868,3.07545700156866e-06
0.00259223171732502,0.999050851988674,-6.31314499007923e-05,-0.0435590535039947,3.60018627622292e-06
0.00274969820101853,0.999051185746885,-7.01192615669211e-05,-0.0435513871608064,4.17143322125786e-06
0.00296802949056953,0.999051687195022,-7.99893025196875e-05,-0.0435398655170121,5.02522537105678e-06
0.00318636078012054,0.99905223604588,-8.98604311617898e-05,-0.0435272505644678,5.92697594641762e-06
0.00340469206967155,0.999052835508348,-9.94639450171878e-05,-0.0435134682915366,6.84803375948539e-06
0.00362302335922255,0.999053489150848,-0.00010850750420618,-0.0434984365397306,7.76123874102805e-06
0.00384135464877356,0.999054200612315,-0.000116697345739933,-0.043482071545723,8.64355744031294e-06
0.00409988718481828,0.999055122338563,-0.00012492774852296,-0.0434608654942472,9.62429590084149e-06
0.00435841972086301,0.999056134042384,-0.000131231319557124,-0.0434375839574571,1.05149766174793e-05
0.00461695225690773,0.999057238132416,-0.000135384833478545,-0.0434121697042994,1.13022978455022e-05
0.00487548479295246,0.999058434773769,-0.00013732282976626,-0.0433846160094426,1.19808585359546e-05
0.00513401732899718,0.999059721931529,-0.000137134580603009,-0.043354965697697,1.2552071905294e-05
0.00548455737963088,0.999061604371094,-0.000133907651275712,-0.0433115754363838,1.31687168371557e-05
0.00577453873567389,0.999063273039596,-0.000129128096182582,-0.0432730817661267,1.35575350294969e-05
0.00606452009171689,0.999065033630472,-0.00012299816725513,-0.0432324329225353,1.38561671098051e-05
0.0063545014477599,0.999066877879113,-0.000116038065233333,-0.0431898120130976,1.40827004052135e-05
0.0066444828038029,0.999068798305799,-0.000108718031156279,-0.0431453847942367,1.42532207497676e-05
0.00693446415984591,0.999070788487947,-0.000101438872247363,-0.0430992934211638,1.43813306387635e-05
0.00736282912039413,0.99907384544896,-9.14094967465823e-05,-0.0430283949667793,1.45160181579026e-05
0.00779119408094236,0.999077030347095,-8.29427207448999e-05,-0.0429543983750933,1.46139747692447e-05
0.00821955904149058,0.999080334346693,-7.65428334989125e-05,-0.0428774934746907,1.47045337760542e-05
0.00864792400203881,0.999083752287886,-7.24705637823182e-05,-0.042797785489057,1.48191566916315e-05
0.00907628896258703,0.999087281783258,-7.08023161621333e-05,-0.0427153150656609,1.49937907265261e-05
0.00959926014333594,0.999091741957738,-7.18988117539444e-05,-0.0426108641900469,1.53424392206859e-05
0.0101222313240848,0.999096370985219,-7.60806020556909e-05,-0.0425021816316729,1.58888817534651e-05
0.0106452025048338,0.999101175104012,-8.26767620739758e-05,-0.0423890881373604,1.66498816430881e-05
0.0111681736855827,0.999106163711905,-9.07276173921827e-05,-0.0422713270647186,1.75945238281166e-05
0.0116911448663316,0.99911134853908,-9.90469277041608e-05,-0.0421485831577412,1.8652664518345e-05
0.0122141160470805,0.99911674289972,-0.000106264344123249,-0.0420204994752168,1.97281115613436e-05
0.0125407908425225,0.999120222005778,-0.000109827642933546,-0.0419376859358181,2.03804284307532e-05
0.0128674656379645,0.999123787373159,-0.000112383682331289,-0.0418526514598559,2.09952779621251e-05
0.0131372549597158,0.99912679686348,-0.000113671159300428,-0.0417807420629332,2.14676476147113e-05
0.013407044281467,0.999129864447131,-0.000114200528481908,-0.0417073188821635,2.19034117430241e-05
0.0136768336032183,0.999132988875548,-0.000114006509957037,-0.0416324037956195,2.23008430053047e-05
0.0139466229249695,0.99913616845693,-0.000113157391812863,-0.041556029203215,2.26599338769897e-05
0.0143382593348117,0.999140878193584,-0.00011094576445166,-0.0414426432463185,2.31160266617873e-05
0.0147298957446538,0.999145693214942,-0.000107884829507238,-0.0413264024390311,2.3501986650209e-05
